교과목명,강의시간,실험실습시간,분반,수강정원,강의실,시작시간
C프로그래밍Ⅰ,2,2,01,25,2공학관 121호-2공학관 125호,월9 화9
C프로그래밍Ⅰ,2,2,02,25,2공학관 316호-2공학관 119호,월9 화9
C프로그래밍Ⅰ,2,2,03,35,2공학관 121a호-2공학관 403호,월9 화9
C프로그래밍Ⅰ,2,2,04,35,2공학관 316호-2공학관 401호,월11 화9
C프로그래밍Ⅰ,2,2,05,35,2공학관 314호-2공학관 403호,월9 화11
컴퓨터공학입문,2,2,01,40,2공학관 121호-2공학관 248호,월11 화9
컴퓨터공학입문,2,2,02,40,2공학관 121호-2공학관 117호,월13 화9
컴퓨터공학입문,2,2,03,40,2공학관 314호-2공학관 117호,월11 화11
컴퓨터공학입문,2,2,04,40,2공학관 316호-2공학관 117호,월13 화13
C++프로그래밍,2,2,01,35,2공학관 316호-2공학관 124호,월15 화9
C++프로그래밍,2,2,02,35,2공학관 315호-2공학관 410호,월9 화9
C++프로그래밍,2,2,03,35,2공학관 121호-2공학관 248호,월15 화11
C++프로그래밍,2,2,04,35,2공학관 121호-2공학관 249호,화9 월9
디지털공학 및 실습,2,2,01,40,2공학관 119호-2공학관 119호,월9 화11
디지털공학 및 실습,2,2,02,40,2공학관 119호-2공학관 119호,월11 화13
디지털공학 및 실습,2,2,03,40,2공학관 119호-2공학관 119호,월13 화15
디지털공학 및 실습,2,2,04,40,2공학관 119호-2공학관 119호,월15 수9
마이크로프로세서및실습,2,2,01,35,2공학관 117호-2공학관 117호,월9 화15
자료구조및실습,2,2,01,35,2공학관 314호-2공학관 407호,월13 화9
컴퓨터시스템기초설계,2,2,01,40,2공학관 121호-2공학관 408호,화11 월9
컴퓨터시스템기초설계,2,2,02,40,2공학관 121a호-2공학관 249호,월11 화9
컴퓨터시스템기초설계,2,2,03,40,2공학관 316호-2공학관 125호,화9 월9
컴퓨터시스템기초설계,2,2,04,40,2공학관 121호-2공학관 248호,화13 월9
공학설계Ⅰ(캡스톤디자인),1,2,01,200,X,수14
데이터베이스설계,2,2,01,28,2공학관 316호-2공학관 403호,화11 월9
데이터베이스설계,2,2,02,28,2공학관 316호-2공학관 409호,화13 월11
디지털신호처리및실습,2,2,01,35,2공학관 315호-2공학관 409호,월11 화9
알고리즘및실습,2,2,01,40,2공학관 315호-2공학관 410호,월13 화11
알고리즘및실습,2,2,02,40,2공학관 314호-2공학관 248호,월15 화13
알고리즘및실습,2,2,03,40,2공학관 315호-2공학관 401호,월15 화11
알고리즘및실습,2,2,04,40,2공학관 314호-2공학관 407호,화9 월9
운영체제,3,0,01,40,2공학관 314호,화11
운영체제,3,0,02,40,2공학관 316호,수9
운영체제,3,0,03,40,2공학관 315호,화9
운영체제,3,0,04,40,2공학관 121호,수9
웹프로그래밍(창업),2,2,01,35,2공학관 315호-2공학관 248호,화13 월11
웹프로그래밍(창업),2,2,02,35,2공학관 316호-2공학관 249호,화15 월11
컴퓨터구조,3,0,01,40,2공학관 316호,수13
컴퓨터구조,3,0,02,40,2공학관 121호,수13
컴퓨터구조,3,0,03,40,2공학관 121호,목9
컴퓨터구조,3,0,04,40,2공학관 315호,수9
컴퓨터네트워크,3,0,01,40,2공학관 121호,목13
컴퓨터네트워크,3,0,02,40,2공학관 121호,금9
컴퓨터네트워크,3,0,03,40,2공학관 121a호,월13
컴퓨터네트워크,3,0,04,40,2공학관 121a호,화9
공학설계Ⅱ(캡스톤디자인),1,2,01,50,X,수14
IoT개론및실습,2,2,01,35,2공학관 316호-2공학관 248호,목9 월13
가상증강현실및실습,2,2,01,35,2공학관 409호-2공학관 409호,월9 화11
네트워크프로그래밍,2,2,01,35,2공학관 121호-2공학관 248호,화15 월15
멀티코어프로그래밍,2,2,01,30,2공학관 315호-2공학관 401호,화15 월9
모바일 시스템 프로그래밍,2,2,01,35,2공학관 121a호-2공학관 119호,화13 수11
산업체취·창업특강,1,0,01,80,담헌실학관 102호,월9
스마트IoT응용및실습,2,2,01,40,2공학관 124호-2공학관 124호,월9 화11
인공지능,3,0,01,35,2공학관 314호,화14
정보보호개론,3,0,01,60,담헌실학관 102호,월10
졸업설계Ⅰ(캡스톤디자인),1,4,01,200,X,수14
졸업설계Ⅱ(캡스톤디자인),1,4,01,50,X,수14
지능형인터페이스및실습,2,2,01,35,2공학관 117호-2공학관 117호,월11 수9
컴파일러및실습,2,2,01,32,2공학관 316호-2공학관 249호,목11 월13
컴퓨터비젼및실습,2,2,01,35,2공학관 314호-2공학관 410호,수9 월9
C프로그래밍Ⅱ,2,2,01,35,2공학관 121호-2공학관 119호,금13 수13
기초전기전자및실습,2,2,01,35,2공학관 117호-2공학관 117호,월13 수11
자바프로그래밍,2,2,01,35,2공학관 121a호-2공학관 410호,화15 월11
창의적공학설계(AD),2,2,01,35,2공학관 315호-2공학관 403호,수13 월11
